49,Zone,"{attrDeps:{HINFORecord:8,ExtendedResolver:2,NXTRecord:8,KEYRecord:8,Message:7,MX_KXRecord:8,RRset:4,SIGRecord:8,TSIGRecord:8,Name:12,SetResponse:9,PTRRecord:1,TKEYRecord:8,RPRecord:8,ARecord:8,TXTRecord:8,CERTRecord:8,Record:8,NSRecord:1,SOARecord:8,SRVRecord:8,AAAARecord:8,Credibility:1,Section:2,SimpleResolver:2,A6Record:8,NAPTRRecord:8,Master:6,CNAMERecord:1,UNKRecord:8,Type:6,DNAMERecord:1,OPTRecord:8,DClass:1,NS_CNAME_PTRRecord:8,KEYRecord2:8,TypeMap:1}}","{methodDeps:{HINFORecord:5,Options:1,ExtendedResolver:2,NXTRecord:5,KEYRecord:5,Message:3,MX_KXRecord:5,RRset:6,SIGRecord:5,TSIGRecord:5,Name:6,SetResponse:6,PTRRecord:1,TKEYRecord:5,RPRecord:5,ARecord:5,TXTRecord:5,CERTRecord:5,Record:5,NSRecord:1,SOARecord:5,SRVRecord:5,AAAARecord:5,Resolver:2,SimpleResolver:2,A6Record:5,NAPTRRecord:5,CNAMERecord:1,Master:2,UNKRecord:5,DNAMERecord:1,OPTRecord:5,NS_CNAME_PTRRecord:5,KEYRecord2:5,TypeMap:2}}"
14,Flags,null,null
21,NameSet,"{attrDeps:{Type:4,TypeMap:1}}","{methodDeps:{TypeMap:6}}"
31,Record,"{attrDeps:{UNKRecord:1,Compression:1,Type:1,DClass:1,SIGRecord:9,Section:2,Name:12}}","{methodDeps:{UNKRecord:3,Options:1,Compression:1,Type:1,DClass:1,SIGRecord:2,TTL:1,Name:3}}"
28,OPTRecord,"{attrDeps:{Compression:1,Type:1,Name:12}}","{methodDeps:{Compression:1,Type:1,Name:2}}"
60,ResolverListener,null,null
37,SimpleResolver,"{attrDeps:{HINFORecord:8,NXTRecord:8,KEYRecord:8,Message:7,MX_KXRecord:8,SIGRecord:8,TSIGRecord:8,Rcode:1,Name:12,PTRRecord:1,TKEYRecord:8,ResolveThread:4,RPRecord:8,ARecord:8,TXTRecord:8,CERTRecord:8,Record:8,NSRecord:1,SOARecord:8,SRVRecord:8,AAAARecord:8,Flags:1,Section:4,A6Record:8,NAPTRRecord:8,UNKRecord:8,CNAMERecord:1,Type:1,DNAMERecord:1,OPTRecord:8,TSIG:1,NS_CNAME_PTRRecord:8,KEYRecord2:8}}","{methodDeps:{HINFORecord:1,Options:1,FindServer:1,NXTRecord:1,KEYRecord:1,Message:9,MX_KXRecord:1,SIGRecord:1,TSIGRecord:1,Rcode:1,Name:1,PTRRecord:1,TKEYRecord:1,ResolveThread:1,RPRecord:1,ARecord:1,TXTRecord:1,CERTRecord:1,Record:1,NSRecord:1,SOARecord:1,SRVRecord:1,AAAARecord:1,WireParseException:1,A6Record:1,NAPTRRecord:1,UNKRecord:1,CNAMERecord:1,DNAMERecord:1,OPTRecord:1,TSIG:1,NS_CNAME_PTRRecord:1,KEYRecord2:1}}"
42,TSIGRecord,"{attrDeps:{Compression:1,Type:1,Rcode:1}}","{methodDeps:{Compression:1,Rcode:1}}"
57,SIGRecord,"{attrDeps:{Compression:1,Type:1}}","{methodDeps:{Options:1,Compression:1,Type:2,TTL:1}}"
19,Master,"{attrDeps:{HINFORecord:8,NXTRecord:8,KEYRecord:8,MX_KXRecord:8,SIGRecord:8,TSIGRecord:8,Name:12,PTRRecord:1,TKEYRecord:8,RPRecord:8,ARecord:8,TXTRecord:8,CERTRecord:8,Record:8,NSRecord:1,SOARecord:8,SRVRecord:8,AAAARecord:8,A6Record:8,NAPTRRecord:8,CNAMERecord:1,UNKRecord:8,DNAMERecord:1,OPTRecord:8,DClass:1,NS_CNAME_PTRRecord:8,KEYRecord2:8}}","{methodDeps:{HINFORecord:4,NXTRecord:4,KEYRecord:4,MX_KXRecord:4,SIGRecord:4,TSIGRecord:4,TTL:1,Name:2,PTRRecord:1,TKEYRecord:4,RPRecord:4,ARecord:4,TXTRecord:4,CERTRecord:4,Record:4,NSRecord:1,SOARecord:4,SRVRecord:4,AAAARecord:4,A6Record:4,NAPTRRecord:4,CNAMERecord:1,UNKRecord:4,Type:1,DNAMERecord:1,OPTRecord:4,DClass:1,NS_CNAME_PTRRecord:4,KEYRecord2:4}}"
35,Section,null,null
23,NSRecord,"{attrDeps:{Compression:1,Type:1,Name:12}}","{methodDeps:{Compression:1,Name:1}}"
50,Cache,"{attrDeps:{Message:7,RRset:4,Flags:1,Credibility:8,Rcode:2,Section:3,Name:12,Master:6,SetResponse:9,Type:8,DNSSEC:1,SOARecord:7,TypeMap:1}}","{methodDeps:{CNAMERecord:1,Master:2,SetResponse:7,Type:2,DNAMERecord:1,Message:4,RRset:10,SOARecord:4,Verifier:1,TypeMap:2,Name:5}}"
13,FindServer,"{attrDeps:{Name:12}}","{methodDeps:{Name:6}}"
0,A6Record,"{attrDeps:{Compression:1,Type:1,Inet6Address:1,Name:12}}","{methodDeps:{Compression:1,Inet6Address:4,Name:2}}"
56,MXRecord,"{attrDeps:{Compression:1,Type:1,Name:12}}","{methodDeps:{Compression:1,Name:1}}"
5,CERTRecord,"{attrDeps:{Compression:1,Type:1,Name:12}}","{methodDeps:{Compression:1,Name:5}}"
32,ResolveThread,"{attrDeps:{ExtendedResolver:2,Message:7,SimpleResolver:2}}","{methodDeps:{ExtendedResolver:2,Resolver:2,Message:1,ResolverListener:2,SimpleResolver:2}}"
26,Opcode,null,null
36,SetResponse,"{attrDeps:{RRset:4}}","{methodDeps:{CNAMERecord:1,DNAMERecord:1,RRset:1}}"
16,Inet6Address,null,null
25,NXTRecord,"{attrDeps:{Compression:1,Type:1,Name:12}}","{methodDeps:{Compression:1,Type:2,Name:5}}"
20,Name,"{attrDeps:{Compression:1,BitString:2}}","{methodDeps:{Options:1,Compression:3,DNAMERecord:1,BitString:8,WireParseException:1}}"
