From,To,Type,Stype
11,15,4,Dy
54,18,4,Dy
11,27,1,As
41,31,1,As
25,45,1,As
56,45,1,As
2,6,4,Dy
37,40,4,Dy
24,31,3,I
31,47,1,As
42,30,1,As
41,0,4,Dy
17,12,1,As
5,7,1,As
31,43,1,As
51,37,1,As
55,31,3,I
41,23,4,Dy
23,24,3,I
32,37,1,As
37,24,1,As
36,34,1,As
2,38,4,Dy
33,31,3,I
49,44,4,Dy
11,20,1,As
37,48,1,As
41,35,1,As
49,5,4,Dy
50,45,1,As
32,37,4,Dy
20,7,1,As
41,54,1,As
0,45,1,As
50,30,1,As
41,38,4,Dy
56,20,1,As
18,45,1,As
2,23,4,Dy
19,24,4,Dy
54,26,1,As
54,38,4,Dy
11,42,4,Dy
2,11,1,As
19,38,4,Dy
11,45,1,As
37,20,1,As
54,24,4,Dy
2,0,4,Dy
11,3,4,Dy
19,24,1,As
49,8,1,As
11,34,1,As
28,20,1,As
36,6,1,As
5,20,1,As
31,35,1,As
50,8,1,As
54,7,1,As
51,54,1,As
54,35,1,As
37,42,4,Dy
49,23,4,Dy
39,7,1,As
37,57,4,Dy
37,27,1,As
59,20,1,As
40,7,1,As
19,0,4,Dy
22,31,3,I
20,4,1,As
37,45,1,As
2,24,4,Dy
34,45,1,As
37,41,1,As
28,45,1,As
37,10,4,Dy
11,36,1,As
2,31,1,As
32,51,1,As
51,27,1,As
49,55,4,Dy
41,39,4,Dy
11,18,4,Dy
11,33,4,Dy
11,57,4,Dy
34,10,4,Dy
38,31,3,I
50,14,1,As
54,24,1,As
18,20,1,As
11,40,4,Dy
19,39,4,Dy
11,9,1,As
54,20,1,As
50,10,1,As
19,29,4,Dy
54,29,4,Dy
41,29,4,Dy
11,10,4,Dy
37,3,4,Dy
10,24,3,I
49,47,4,Dy
23,7,1,As
11,22,4,Dy
23,45,1,As
52,14,1,As
49,10,1,As
2,40,4,Dy
19,43,1,As
57,45,1,As
37,18,4,Dy
37,54,1,As
11,37,4,Dy
39,31,3,I
11,29,4,Dy
39,45,1,As
18,48,1,As
37,6,4,Dy
54,9,1,As
54,25,4,Dy
5,45,1,As
29,7,1,As
19,42,4,Dy
37,22,4,Dy
2,47,4,Dy
40,20,2,Ag
54,0,4,Dy
1,20,1,As
0,7,1,As
49,21,0,None
54,23,4,Dy
34,24,1,As
11,59,1,As
42,20,2,Ag
56,7,1,As
40,31,3,I
50,34,1,As
56,55,3,I
49,3,4,Dy
39,20,2,Ag
54,45,1,As
23,20,1,As
52,35,1,As
25,7,1,As
49,31,1,As
11,38,4,Dy
2,24,1,As
40,45,1,As
34,20,1,As
57,20,2,Ag
49,24,4,Dy
36,10,1,As
44,7,1,As
49,19,1,As
2,44,4,Dy
32,54,1,As
54,3,4,Dy
10,20,1,As
2,5,4,Dy
2,28,4,Dy
37,1,4,Dy
2,39,4,Dy
49,39,4,Dy
19,31,1,As
49,46,1,As
6,7,1,As
24,7,1,As
2,1,4,Dy
37,24,4,Dy
54,40,4,Dy
22,20,1,As
47,20,1,As
51,30,1,As
11,25,4,Dy
20,27,1,As
28,31,3,I
52,26,1,As
19,22,4,Dy
11,17,4,Dy
50,58,1,As
37,15,4,Dy
15,31,3,I
49,1,4,Dy
19,10,4,Dy
37,39,4,Dy
49,45,1,As
10,45,1,As
19,57,4,Dy
50,38,1,As
53,55,3,I
49,15,4,Dy
19,18,4,Dy
11,51,4,Dy
38,7,1,As
44,31,3,I
19,6,4,Dy
51,20,1,As
59,60,1,As
49,24,1,As
11,0,4,Dy
37,5,4,Dy
2,45,1,As
37,30,1,As
22,45,1,As
37,31,1,As
54,14,1,As
41,40,4,Dy
20,10,1,As
34,31,0,None
3,31,3,I
42,45,1,As
41,33,4,Dy
54,47,4,Dy
38,43,1,As
41,47,4,Dy
49,28,4,Dy
1,45,1,As
54,33,4,Dy
40,30,1,As
49,20,1,As
