From,To,Type,Stype
57,63,3,I
35,191,4,Dy
77,54,1,As
6,82,4,Dy
220,177,1,As
54,224,4,Dy
157,171,1,As
206,31,1,As
255,81,1,As
105,102,1,As
150,161,1,As
252,255,2,Ag
30,82,4,Dy
197,204,4,Dy
4,0,1,As
45,46,1,As
71,208,1,As
132,161,1,As
64,46,4,Dy
117,118,1,As
67,239,4,Dy
234,235,2,Ag
257,51,1,As
98,99,1,As
118,115,1,As
39,211,4,Dy
15,230,4,Dy
77,6,1,As
168,162,3,I
194,82,4,Dy
196,211,4,Dy
90,93,4,Dy
178,223,4,Dy
192,177,4,Dy
97,87,1,As
79,1,4,Dy
187,51,1,As
18,230,4,Dy
79,205,1,As
39,204,4,Dy
187,54,1,As
241,51,1,As
106,122,3,I
76,230,4,Dy
171,170,1,As
133,161,1,As
56,82,4,Dy
118,116,1,As
161,125,1,As
16,26,1,As
161,90,2,Ag
54,51,1,As
71,37,4,Dy
20,17,1,As
57,222,1,As
108,118,1,As
0,81,2,Ag
193,71,4,Dy
169,162,3,I
0,216,2,Ag
76,217,4,Dy
206,177,4,Dy
5,230,4,Dy
192,221,1,As
129,161,2,Ag
130,161,1,As
111,118,1,As
110,118,2,Ag
221,6,2,Ag
248,259,4,Dy
187,45,4,Dy
125,90,1,As
15,8,1,As
255,177,4,Dy
148,125,1,As
184,255,1,As
235,191,4,Dy
249,255,2,Ag
255,250,1,As
104,105,2,Ag
255,220,1,As
64,46,1,As
105,121,1,As
131,161,1,As
71,230,4,Dy
5,6,1,As
112,118,1,As
197,81,1,As
118,110,1,As
73,211,4,Dy
77,224,4,Dy
71,201,1,As
187,182,4,Dy
242,217,3,I
161,139,1,As
237,222,1,As
79,177,4,Dy
71,203,4,Dy
15,9,1,As
201,50,1,As
42,222,2,Ag
6,41,1,As
161,176,1,As
175,86,4,Dy
223,82,4,Dy
59,48,1,As
178,71,1,As
255,249,1,As
76,211,4,Dy
21,229,4,Dy
192,177,1,As
189,239,4,Dy
77,218,3,I
125,93,4,Dy
108,119,4,Dy
118,111,1,As
78,74,3,I
110,118,4,Dy
24,17,1,As
71,37,1,As
79,177,1,As
246,229,4,Dy
37,229,4,Dy
15,10,1,As
193,71,1,As
92,87,1,As
251,255,2,Ag
204,56,4,Dy
113,118,2,Ag
123,107,1,As
45,46,4,Dy
30,230,4,Dy
76,80,1,As
118,112,1,As
235,222,1,As
154,90,3,I
35,81,2,Ag
111,118,4,Dy
197,222,1,As
159,171,1,As
55,222,2,Ag
242,82,4,Dy
77,229,4,Dy
15,11,1,As
147,125,1,As
182,82,4,Dy
250,255,2,Ag
211,205,1,As
185,229,4,Dy
4,2,1,As
206,54,1,As
224,177,2,Ag
224,230,4,Dy
149,171,1,As
150,121,1,As
45,40,1,As
234,248,1,As
23,229,4,Dy
237,217,3,I
161,146,1,As
35,244,4,Dy
45,66,1,As
194,53,4,Dy
26,177,1,As
239,216,3,I
238,39,1,As
26,230,4,Dy
76,216,4,Dy
11,26,1,As
75,230,4,Dy
73,204,1,As
72,222,1,As
154,93,4,Dy
171,125,1,As
36,259,4,Dy
178,220,1,As
105,89,1,As
148,171,1,As
2,223,4,Dy
61,64,2,Ag
23,21,1,As
75,177,1,As
19,177,4,Dy
26,24,1,As
161,147,1,As
35,197,4,Dy
41,0,1,As
10,26,1,As
96,169,1,As
73,53,4,Dy
21,177,1,As
77,0,1,As
197,45,4,Dy
21,230,4,Dy
73,72,4,Dy
89,87,2,Ag
147,171,1,As
30,229,4,Dy
224,177,4,Dy
96,95,1,As
161,148,1,As
228,221,1,As
107,106,1,As
245,213,3,I
72,70,1,As
37,230,4,Dy
9,26,1,As
185,206,1,As
161,154,1,As
193,224,4,Dy
139,105,1,As
78,229,4,Dy
0,222,1,As
148,161,1,As
204,222,1,As
73,0,3,I
39,45,4,Dy
236,222,1,As
194,72,4,Dy
183,51,1,As
211,82,4,Dy
35,211,4,Dy
161,149,1,As
193,223,4,Dy
187,226,1,As
201,198,4,Dy
43,65,3,I
6,230,4,Dy
178,224,4,Dy
191,1,3,I
26,177,4,Dy
8,26,1,As
182,205,1,As
103,86,4,Dy
72,219,1,As
170,171,2,Ag
74,6,1,As
19,177,1,As
161,172,1,As
161,150,4,Dy
4,222,1,As
160,161,1,As
149,161,1,As
247,217,3,I
217,226,3,I
64,57,1,As
196,259,4,Dy
201,198,1,As
71,6,1,As
14,15,2,Ag
184,223,4,Dy
161,168,1,As
149,93,4,Dy
63,55,3,I
79,76,1,As
106,107,1,As
17,205,2,Ag
37,177,1,As
146,161,1,As
23,206,1,As
77,177,4,Dy
61,222,1,As
50,54,1,As
248,43,4,Dy
92,85,1,As
6,71,1,As
187,44,1,As
79,74,3,I
235,39,4,Dy
36,209,1,As
204,61,4,Dy
53,216,3,I
245,221,1,As
1,242,4,Dy
13,15,2,Ag
192,229,4,Dy
14,26,1,As
0,247,4,Dy
193,178,1,As
235,187,4,Dy
147,161,1,As
191,51,1,As
187,186,1,As
240,51,1,As
243,205,1,As
73,204,4,Dy
255,178,1,As
6,71,4,Dy
223,224,1,As
220,230,4,Dy
78,259,4,Dy
161,150,1,As
235,234,1,As
23,26,1,As
175,125,1,As
197,236,1,As
255,212,1,As
12,15,2,Ag
85,93,4,Dy
224,221,3,I
6,0,1,As
144,161,1,As
208,177,1,As
13,26,1,As
23,15,1,As
161,151,1,As
260,255,1,As
76,1,4,Dy
139,161,1,As
194,205,1,As
222,181,1,As
85,89,1,As
149,105,1,As
239,229,4,Dy
63,48,1,As
235,244,4,Dy
221,229,4,Dy
85,161,1,As
197,205,1,As
62,222,1,As
5,229,4,Dy
11,15,2,Ag
1,239,4,Dy
206,37,1,As
201,202,4,Dy
12,26,1,As
161,152,1,As
39,81,2,Ag
77,177,1,As
75,177,4,Dy
35,187,4,Dy
206,223,4,Dy
224,1,4,Dy
145,161,1,As
159,161,1,As
197,211,4,Dy
43,53,4,Dy
1,226,3,I
177,205,1,As
31,217,4,Dy
204,81,3,I
65,216,1,As
206,0,1,As
10,15,2,Ag
239,1,4,Dy
177,224,4,Dy
161,153,1,As
216,229,4,Dy
139,93,4,Dy
71,199,4,Dy
177,178,1,As
193,6,1,As
224,218,1,As
223,205,2,Ag
255,31,1,As
247,222,1,As
56,205,1,As
214,224,4,Dy
9,15,2,Ag
227,203,4,Dy
71,223,4,Dy
222,219,1,As
123,105,1,As
161,159,1,As
73,45,4,Dy
248,222,1,As
172,173,1,As
157,161,1,As
156,161,2,Ag
3,41,1,As
222,6,1,As
255,256,1,As
207,178,1,As
255,211,4,Dy
96,164,1,As
204,63,4,Dy
1,81,2,Ag
21,26,2,Ag
8,15,2,Ag
187,211,4,Dy
54,221,1,As
208,230,4,Dy
64,58,1,As
71,202,4,Dy
119,120,3,I
27,17,1,As
222,50,1,As
87,88,1,As
158,161,1,As
22,23,2,Ag
248,81,1,As
107,120,1,As
218,1,4,Dy
255,223,4,Dy
6,52,1,As
239,51,1,As
207,47,3,I
77,230,4,Dy
155,161,1,As
76,229,4,Dy
90,86,4,Dy
244,222,2,Ag
0,242,4,Dy
239,230,4,Dy
36,239,4,Dy
171,175,1,As
1,247,4,Dy
206,71,4,Dy
223,222,1,As
178,224,1,As
229,51,1,As
178,37,4,Dy
18,229,4,Dy
74,223,4,Dy
161,156,1,As
0,217,2,Ag
54,82,1,As
183,1,3,I
233,225,1,As
78,216,4,Dy
139,171,1,As
194,204,4,Dy
0,239,4,Dy
85,205,1,As
192,222,1,As
177,37,4,Dy
23,22,1,As
222,201,1,As
23,19,1,As
56,48,1,As
161,155,1,As
255,239,4,Dy
61,219,1,As
246,5,1,As
161,91,4,Dy
1,222,1,As
41,1,4,Dy
86,87,1,As
255,254,1,As
161,107,1,As
71,227,3,I
91,93,4,Dy
0,211,4,Dy
161,158,1,As
30,29,1,As
36,39,4,Dy
53,229,4,Dy
239,177,1,As
39,65,1,As
15,229,4,Dy
154,161,1,As
177,220,1,As
54,71,4,Dy
45,222,1,As
161,127,1,As
77,71,4,Dy
218,177,4,Dy
84,224,4,Dy
255,258,1,As
16,230,4,Dy
194,68,1,As
210,35,4,Dy
210,51,1,As
248,45,4,Dy
38,42,1,As
161,157,1,As
194,67,1,As
161,154,4,Dy
123,161,1,As
0,45,4,Dy
191,190,1,As
91,86,4,Dy
185,177,4,Dy
19,229,4,Dy
31,226,1,As
235,248,1,As
4,3,1,As
84,221,1,As
23,6,1,As
206,51,1,As
222,82,1,As
0,259,4,Dy
53,177,1,As
78,6,1,As
78,230,4,Dy
39,239,4,Dy
31,216,4,Dy
161,130,1,As
255,45,4,Dy
184,230,4,Dy
224,229,4,Dy
205,82,1,As
164,163,1,As
187,53,4,Dy
196,72,4,Dy
35,85,4,Dy
194,81,1,As
255,260,1,As
123,171,1,As
166,168,2,Ag
49,40,3,I
85,83,1,As
224,223,1,As
220,223,4,Dy
167,168,1,As
239,0,1,As
76,0,1,As
47,51,1,As
79,223,4,Dy
241,238,2,Ag
5,0,1,As
255,54,1,As
74,229,4,Dy
121,102,1,As
161,131,1,As
45,49,4,Dy
68,51,1,As
223,0,2,Ag
20,177,4,Dy
255,47,1,As
36,35,4,Dy
48,51,1,As
35,4,4,Dy
30,0,1,As
57,64,2,Ag
1,243,4,Dy
150,90,3,I
238,240,1,As
192,82,4,Dy
5,204,1,As
161,132,1,As
36,222,1,As
76,177,4,Dy
197,72,4,Dy
77,221,1,As
206,230,4,Dy
23,230,4,Dy
86,89,3,I
35,34,1,As
187,222,1,As
149,89,1,As
222,82,4,Dy
31,81,4,Dy
235,229,4,Dy
23,16,1,As
39,72,4,Dy
64,63,4,Dy
255,229,4,Dy
19,26,1,As
246,177,4,Dy
219,51,1,As
67,65,3,I
17,222,1,As
31,32,1,As
161,133,1,As
241,238,4,Dy
30,177,1,As
61,48,1,As
255,50,1,As
183,216,1,As
189,53,4,Dy
255,260,4,Dy
67,53,4,Dy
84,213,3,I
79,229,4,Dy
84,206,1,As
224,223,4,Dy
223,177,3,I
202,200,3,I
118,105,1,As
206,6,1,As
246,177,1,As
187,204,4,Dy
27,82,1,As
129,87,1,As
0,243,4,Dy
161,134,1,As
35,259,4,Dy
77,1,4,Dy
2,205,1,As
125,103,4,Dy
95,96,1,As
235,4,4,Dy
243,82,4,Dy
29,51,1,As
36,53,4,Dy
193,192,1,As
18,177,4,Dy
54,255,4,Dy
235,189,4,Dy
73,1,3,I
190,51,1,As
150,86,4,Dy
235,248,4,Dy
97,93,1,As
161,96,1,As
161,135,1,As
210,54,1,As
217,222,1,As
259,81,3,I
107,108,1,As
76,177,1,As
150,107,1,As
192,224,4,Dy
248,53,4,Dy
30,28,3,I
82,205,3,I
165,168,2,Ag
189,222,1,As
18,177,1,As
26,229,4,Dy
131,125,1,As
4,41,1,As
236,82,4,Dy
35,248,3,I
161,136,1,As
161,164,1,As
256,51,1,As
194,259,4,Dy
15,177,1,As
227,199,4,Dy
71,198,4,Dy
72,81,3,I
97,93,4,Dy
30,177,4,Dy
185,177,1,As
29,30,4,Dy
17,82,4,Dy
243,82,2,Ag
248,204,4,Dy
206,213,3,I
1,45,4,Dy
260,178,1,As
16,17,1,As
79,82,4,Dy
139,89,2,Ag
184,6,1,As
53,1,4,Dy
193,230,4,Dy
15,223,4,Dy
3,4,2,Ag
212,1,4,Dy
35,248,4,Dy
161,137,1,As
197,51,1,As
4,212,3,I
6,178,1,As
65,239,4,Dy
222,231,1,As
30,1,4,Dy
22,18,1,As
30,178,1,As
210,39,4,Dy
185,192,1,As
6,1,4,Dy
1,211,4,Dy
72,205,1,As
142,161,1,As
27,26,1,As
196,1,3,I
206,37,4,Dy
64,61,1,As
5,35,1,As
64,62,4,Dy
78,211,4,Dy
240,238,2,Ag
6,205,1,As
161,138,1,As
204,59,4,Dy
64,59,4,Dy
36,81,1,As
111,101,1,As
64,49,4,Dy
245,71,4,Dy
194,1,3,I
97,161,1,As
36,204,4,Dy
178,50,1,As
96,86,1,As
37,220,3,I
143,161,1,As
210,39,3,I
161,89,1,As
21,20,1,As
71,0,2,Ag
161,87,1,As
255,37,4,Dy
229,82,2,Ag
85,87,1,As
16,223,4,Dy
161,140,1,As
39,67,4,Dy
245,206,1,As
227,202,4,Dy
204,62,4,Dy
26,17,1,As
26,82,4,Dy
140,161,1,As
78,80,1,As
193,230,1,As
235,223,4,Dy
187,255,1,As
235,85,4,Dy
35,45,4,Dy
183,53,4,Dy
154,121,1,As
1,217,1,As
188,189,1,As
118,109,1,As
64,60,1,As
192,6,1,As
204,64,1,As
93,89,3,I
58,48,1,As
76,74,3,I
161,141,1,As
1,82,4,Dy
76,259,4,Dy
6,221,1,As
185,255,1,As
163,164,2,Ag
210,72,4,Dy
154,105,1,As
255,201,1,As
141,161,1,As
210,248,1,As
187,81,4,Dy
64,49,1,As
35,189,4,Dy
223,1,4,Dy
127,176,1,As
206,260,4,Dy
71,220,1,As
6,177,1,As
64,59,1,As
38,41,1,As
255,41,4,Dy
161,142,1,As
228,71,4,Dy
96,86,4,Dy
57,48,1,As
188,51,1,As
216,223,4,Dy
221,177,4,Dy
79,6,1,As
235,197,4,Dy
206,229,4,Dy
45,49,1,As
5,177,4,Dy
36,216,1,As
21,177,4,Dy
255,224,4,Dy
73,239,4,Dy
220,229,4,Dy
59,222,1,As
64,62,1,As
161,143,1,As
187,81,1,As
39,43,4,Dy
255,6,1,As
244,1,3,I
2,222,1,As
192,230,4,Dy
179,50,1,As
39,259,4,Dy
93,87,1,As
184,206,1,As
64,61,4,Dy
260,47,3,I
255,6,4,Dy
5,1,4,Dy
248,211,4,Dy
221,1,4,Dy
64,60,4,Dy
76,72,4,Dy
161,144,1,As
71,1,4,Dy
213,224,4,Dy
221,177,2,Ag
59,55,3,I
224,0,1,As
125,89,1,As
210,259,4,Dy
39,248,3,I
105,93,4,Dy
78,217,4,Dy
222,227,1,As
227,198,4,Dy
154,89,1,As
19,230,4,Dy
73,259,4,Dy
71,7,1,As
161,145,1,As
84,71,4,Dy
71,221,3,I
206,224,4,Dy
221,220,1,As
53,0,2,Ag
5,177,1,As
255,51,1,As
